Ticker,Security Type,Exchange,Country,Sector,Current Price,Shares Outstanding,Market Cap,Net Income,EPS,P/E Ratio (TTM),BVPS,P/B Ratio,Earnings Growth,Revenue Growth,Dividend Yield,Gross Margin,Profit Margin,Debt to Equity,Free Cash Flow,Current Ratio,Quick Ratio,ROE,ROA
0144.hk,EQUITY,HKG,Hong Kong,Industrials,16.24,4198009186.0,68679426048.0,7050999808.0,1.68,9.666667,25.642,0.63333595,-0.267,0.674,5.46,0.48016998,0.5687,26.775,1907500032.0,0.778,0.639,0.06759,0.01627
0145.hk,EQUITY,HKG,Hong Kong,Industrials,0.206,261081970.0,53782884.0,-15964000.0,-0.07,,0.196,1.0510204,,-0.15,,0.12921,-0.31701002,26.743,-21862750.0,2.573,1.525,-0.35165,-0.145
0146.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,1.88,212187488.0,398912480.0,43780000.0,0.21,8.952381,2.26,0.8318584,0.113,0.05,6.38,0.60965997,0.06645,28.957,65869000.0,1.542,1.348,0.09369001,0.038039997
0147.hk,EQUITY,HKG,Hong Kong,Real Estate,0.243,23101402320.0,5613641216.0,-228747008.0,-0.01,,0.015,16.2,,,,-0.16773,-1.2285299,346.677,155612752.0,0.849,0.251,-1.03854,-0.0719
0148.hk,EQUITY,HKG,Hong Kong,Industrials,27.24,1108311736.0,30988394496.0,2705050112.0,2.44,11.163934,56.449,0.48255947,0.713,0.058,5.07,0.18368,0.061079998,36.991,2804953600.0,2.016,1.242,0.04893,0.02842
0149.hk,EQUITY,HKG,Hong Kong,Real Estate,0.076,9953067822.0,766386240.0,7833000.0,0.0,,0.164,0.4634146,,-0.104,,0.56264,0.01475,56.522,154579008.0,1.585,0.279,0.01569,0.017
0154.hk,EQUITY,HKG,Hong Kong,Industrials,0.57,1500360150.0,855205312.0,277545984.0,0.2,2.85,2.54,0.22440945,-0.047,-0.101,,0.38491002,0.17674999,111.451,-134189752.0,0.887,0.702,0.07524,0.03063
0239.hk,EQUITY,HKG,Hong Kong,Healthcare,2.45,311640000.0,763518016.0,70965000.0,0.23,10.652174,2.26,1.0840708,-0.162,-0.285,2.78,0.86921996,0.35563,0.68,29853376.0,6.47,6.214,0.09751,0.06889
0256.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.171,4351888206.0,744172928.0,-303140992.0,-0.07,,0.887,0.19278467,,-0.223,,0.66745,-0.21632,20.633,-1426257024.0,13.126,11.419,-0.0837,0.0011
0264.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,2.16,461740000.0,997358464.0,-15111000.0,-0.04,,-0.123,-17.560976,,1.067,,0.2861,-0.48451,,-8543250.0,0.342,0.245,,-0.57318
0267.hk,EQUITY,HKG,Hong Kong,Industrials,12.72,29090262630.0,376428003328.0,64893534208.0,2.13,5.971831,21.526,0.59091336,-0.232,,4.82,0.53077,0.06732,217.529,-2358505635840.0,4.496,1.152,0.08502,0.0163
0268.hk,EQUITY,HKG,China,Technology,14.69,3529470571.0,52659699712.0,-21955000.0,-0.01,,2.266,6.4827886,,0.112,,0.6614,-0.0033399998,0.592,547717760.0,1.006,0.75,-0.0068300003,-0.00415
0269.hk,EQUITY,HKG,Hong Kong,Industrials,0.01,10644093185.0,106440928.0,-337599008.0,-0.03,,-1.126,-0.008880994,,0.033,,0.25075,-0.58442,,181231120.0,0.034,0.037,,0.00827
0574.hk,EQUITY,HKG,Hong Kong,Healthcare,0.052,1474992908.0,76699632.0,-59795000.0,-0.04,,-0.101,-0.51485145,,-0.003,,0.15903,-0.69194,,30420876.0,0.748,0.422,,-0.00759
0575.hk,EQUITY,HKG,Hong Kong,Healthcare,0.68,291815782.0,198434736.0,-4076000.0,-0.14,,-0.014,-48.571426,,0.927,,0.045619998,0.0,,-2616125.0,0.147,0.075,,-3.1081698
0576.hk,EQUITY,HKG,China,Industrials,7.68,2023335842.0,46855766016.0,5563720192.0,1.02,7.529412,8.159,0.94129175,-0.028,0.18,5.43,0.3552,0.28955,40.962,-49781960704.0,1.367,0.179,0.102749996,0.01672
0579.hk,EQUITY,HKG,China,Utilities,2.46,2829676800.0,20611270656.0,3100217600.0,0.42,5.857143,4.181,0.588376,-0.084,-0.0,6.35,0.54255,0.15326999,115.569,-2782382336.0,0.891,0.835,0.0876,0.03437
0580.hk,EQUITY,HKG,China,Technology,2.29,1593198000.0,3823674880.0,162572992.0,0.11,20.818182,1.254,1.8261564,1.803,0.355,0.87,0.27955,0.08821999,14.217,6005750.0,2.217,1.752,0.0752,0.01287
0581.hk,EQUITY,HKG,Hong Kong,Basic Materials,1.29,3722569000.0,4876564992.0,258196000.0,0.07,18.428572,5.999,0.21503583,0.979,-0.12,0.78,0.05256,0.00641,62.042,2338847488.0,1.355,0.8,0.0138,0.00606
0582.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.133,3651481386.0,489298496.0,-506996992.0,-0.19,,4.374,0.03040695,,-0.218,,0.77712995,-0.52818,19.484,-110750000.0,1.418,0.272,-0.07561,-0.0279
0583.hk,EQUITY,HKG,Hong Kong,Real Estate,0.217,1567745596.0,340200768.0,-368705984.0,-0.24,,2.32,0.093534485,,,,0.72477996,0.0,154.313,-207450624.0,0.047,0.045,-0.09648,-0.00045000002
0585.hk,EQUITY,HKG,Hong Kong,Financial Services,0.87,829921572.0,771827072.0,-1831000.0,0.0,,0.792,1.0984849,,0.285,,0.95278,-0.06123,0.641,,4.756,4.395,-0.00433,-0.00398
0586.hk,EQUITY,HKG,China,Industrials,10.58,1792041059.0,19210680320.0,2129212032.0,1.38,7.6666665,27.09,0.39055002,0.12,-0.016,3.78,0.35501,0.3422,57.37,-1464072064.0,0.987,0.937,0.045050003,0.01158
0587.hk,EQUITY,HKG,China,Industrials,0.57,1826765059.0,1059523712.0,-71541000.0,-0.04,,1.616,0.35272276,-0.947,-0.033,4.55,0.31074,-0.04309,133.842,-61717248.0,0.819,0.755,-0.02883,0.00239
0588.hk,EQUITY,HKG,China,Real Estate,0.9,707020000.0,6535554560.0,-4073119488.0,-1.32,,2.235,0.40268457,,0.036,3.06,-0.14749,-0.60002,188.567,9591435264.0,2.149,0.537,-0.3879,-0.03285
0590.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,24.56,587107850.0,14595501056.0,1099864064.0,1.87,13.13369,22.488,1.0921379,-0.193,0.007,4.48,0.33108002,0.082440004,21.367,-55148624.0,3.144,0.582,0.08212,0.05026
0591.hk,EQUITY,HKG,Hong Kong,Technology,0.345,1037500000.0,378687488.0,17445000.0,0.02,17.25,1.647,0.20947178,,0.159,,0.33830002,0.090129994,1.062,27112500.0,19.988,19.736,0.01026,0.00545
0595.hk,EQUITY,HKG,Hong Kong,Technology,0.4,908663302.0,363465312.0,53714000.0,0.06,6.666667,1.908,0.20964362,,-0.031,5.0,0.01107,0.04514,1.846,-37477000.0,1.234,0.549,0.0312,-0.03345
0596.hk,EQUITY,HKG,Hong Kong,Technology,7.83,1152927831.0,9396361216.0,462144992.0,0.44,17.795454,2.294,3.413252,0.725,0.049,1.02,0.27509,0.055,38.824,-619667968.0,1.19,1.088,0.1933,0.03652
0598.hk,EQUITY,HKG,China,Industrials,5.25,2016281000.0,46823665664.0,3771718400.0,0.59,8.898306,5.353,0.9807584,-0.185,-0.168,6.07,0.059520002,0.03979,28.265,2551820288.0,1.366,1.143,0.09726,0.01742
0599.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.184,718838942.0,132266360.0,-13440000.0,-0.02,,0.648,0.28395063,,-0.1,,0.34951,-0.029360002,11.894,96267872.0,2.79,1.839,-0.02796,0.00398
0601.hk,EQUITY,HKG,Hong Kong,Basic Materials,0.099,592595103.0,58666920.0,-394112000.0,-0.79,,0.23,0.43043476,,-0.117,,-0.17401,-1.7120199,548.821,-39103000.0,1.405,0.053,-1.2425,-0.057010002
0602.hk,EQUITY,HKG,China,Consumer Cyclical,0.052,1037500002.0,53950004.0,-33841000.0,-0.04,,-0.07,-0.74285716,,-0.145,,0.64321,-0.097040005,,69423504.0,0.347,0.274,,0.01604
0603.hk,EQUITY,HKG,Hong Kong,Energy,0.228,5636803834.0,1285191168.0,162698000.0,0.03,7.6000004,0.74,0.3081081,-0.125,-0.151,,0.12517999,0.01001,111.622,467947360.0,0.777,0.682,0.08715,0.03794
0604.hk,EQUITY,HKG,Hong Kong,Real Estate,0.98,8898793115.0,8720818176.0,-3339476992.0,-0.38,,4.131,0.2372307,,1.755,12.16,0.23134,-0.15069,145.304,-860998272.0,1.272,0.128,-0.06533,0.01135
0605.hk,EQUITY,HKG,Hong Kong,Financial Services,1.07,203529367.0,217776432.0,29956000.0,0.14,7.6428576,3.065,0.3491028,,-0.195,,1.0,0.30979002,87.769,161399008.0,1.348,0.378,0.0454,-0.00343
0606.hk,EQUITY,HKG,China,Real Estate,0.265,1935000000.0,512774976.0,10645000.0,0.01,26.5,1.42,0.18661971,-0.576,-0.055,,0.27809998,0.00903,0.021,1088499584.0,2.08,1.914,0.0054900004,0.00064000004
0607.hk,EQUITY,HKG,Hong Kong,Industrials,0.19,636763934.0,120985144.0,-4666160128.0,-8.0,,12.197,0.015577601,,-0.038,,0.17563,-0.20522,81.434,,1.221,0.752,-0.36719,-0.051149998
0608.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,1.45,305615420.0,443142368.0,80123000.0,0.3,4.8333335,10.441,0.13887559,-0.196,-0.082,4.83,0.18616,0.02503,51.712,-142630624.0,1.163,0.757,0.02726,0.00964
0609.hk,EQUITY,HKG,China,Basic Materials,1.36,878418000.0,1248542464.0,59677000.0,0.07,19.428572,2.761,0.49257517,-0.179,-0.056,3.68,0.11003,0.03282,14.142,-92772872.0,2.327,2.04,0.01301,0.00361
0610.hk,EQUITY,HKG,Hong Kong,Industrials,0.9,793124034.0,713811584.0,-5815506944.0,-7.33,,2.112,0.42613634,,0.059,,0.08404,-0.39111,29.489,555834624.0,1.361,1.307,-0.9977,0.02783
0611.hk,EQUITY,HKG,Hong Kong,Industrials,0.63,1852036942.0,1185303680.0,129875000.0,0.08,7.875,0.953,0.6610703,0.224,-0.286,,0.44949,0.12004,441.676,-1553919872.0,1.024,0.755,0.07678,0.02325
0612.hk,EQUITY,HKG,Hong Kong,Financial Services,0.335,1561433790.0,523080320.0,-112464000.0,-0.07,,0.322,1.0403727,,,,1.0,0.0,,-83977000.0,22.571,20.832,-0.2026,-0.07455
0613.hk,EQUITY,HKG,Hong Kong,Financial Services,1.96,960527675.0,1882634240.0,1021000.0,0.0,,1.554,1.2612612,,-0.152,,1.24412,0.013839999,12.796,138110496.0,3.789,2.958,-0.00801,0.00881
0616.hk,EQUITY,HKG,Hong Kong,Real Estate,0.207,1014444348.0,211004416.0,-357777984.0,-0.79,,2.775,0.074594595,,0.832,,-2.70476,0.0,69.029,-171313248.0,2.258,0.078,-0.12207,-0.02116
0617.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.295,1114600000.0,328806976.0,-1659399936.0,-1.5,,7.135,0.041345477,,-0.148,,0.36962003,-0.62594,153.689,69300000.0,1.138,0.144,-0.16757,-0.00332
0618.hk,EQUITY,HKG,Hong Kong,Real Estate,0.154,2737417279.0,424299680.0,-2339898880.0,-0.23,,-0.459,-0.33551198,,0.286,,-0.03736,-1.4456799,450.186,521439360.0,0.88,0.084,-1.73477,-0.124
0619.hk,EQUITY,HKG,Hong Kong,Financial Services,0.385,301277070.0,115991664.0,-296078016.0,-0.98,,0.111,3.4684684,,0.205,,1.0,0.0,1112.395,,0.715,0.701,-2.8610198,-0.28159
0620.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.69,801025230.0,560717696.0,-26582000.0,-0.04,,1.275,0.5411765,,-0.317,,0.96547997,-0.60726,154.647,256359376.0,2.015,0.439,-0.02987,-0.00483
0621.hk,EQUITY,HKG,Hong Kong,Basic Materials,0.69,1815147198.0,1252451456.0,-22232000.0,-0.01,,1.166,0.5917667,,,,0.0,0.0,0.014,-34654752.0,9.694,9.486,-0.009459999,-0.00601
0622.hk,EQUITY,HKG,Hong Kong,Financial Services,0.55,6183233139.0,3400778240.0,12140000.0,0.0,,0.514,1.0700389,,,,1.0,0.27907,2.484,,9.125,9.125,0.0037599998,0.00358
0623.hk,EQUITY,HKG,China,Communication Services,2.05,471033370.0,965618368.0,110030000.0,0.26,7.8846154,4.744,0.4321248,0.097,-0.45,5.37,0.39687002,0.23777,0.058,106239128.0,3.161,2.959,0.05686,0.02928
0626.hk,EQUITY,HKG,Hong Kong,Financial Services,1.31,1097917618.0,1438272000.0,-962326976.0,-0.88,,7.048,0.18586832,,0.232,3.05,0.0,-1.14957,,,,,-0.11767,-0.02219
0627.hk,EQUITY,HKG,Hong Kong,Real Estate,0.74,1420673262.0,1051298240.0,-562550976.0,-0.43,,-1.323,-0.5593349,,-0.453,,-1.8896699,0.0,,1510483712.0,0.658,0.579,,-0.038429998
0628.hk,EQUITY,HKG,Hong Kong,Financial Services,0.223,5201123120.0,1201459456.0,46242000.0,0.01,22.300001,0.439,0.50797266,-0.312,2.182,,0.99095,0.11302,3.894,-151058496.0,10.498,10.4,0.01461,0.010980001
0629.hk,EQUITY,HKG,Hong Kong,Industrials,0.295,1168626516.0,344744832.0,13469000.0,0.0,,0.389,0.7583547,-0.163,-0.158,1.56,0.8604,0.23299,26.732,244945376.0,1.909,1.909,0.029949998,0.030199999
0630.hk,EQUITY,HKG,Hong Kong,Healthcare,0.33,967551792.0,319292096.0,25344000.0,0.03,11.000001,0.063,5.2380953,,0.233,,0.29274,0.59037,54.002,20577624.0,2.092,1.01,0.52144,0.00957
0631.hk,EQUITY,HKG,China,Industrials,7.27,3230704104.0,24004132864.0,1420215040.0,0.4,18.175,3.875,1.876129,,0.147,3.92,0.22075,0.058819998,87.574,,,,,
0632.hk,EQUITY,HKG,Hong Kong,Energy,0.41,869353674.0,356435008.0,-20197000.0,-0.02,,0.264,1.5530303,,0.046,,0.014880001,-0.13046,5.471,-40792876.0,2.268,0.17,-0.086169995,-0.02305
0635.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.54,0.0,1116720000.0,-427966016.0,0.01,54.000004,2.304,0.23437501,,-0.504,5.56,0.56633997,-0.5177,2.655,94366752.0,3.397,3.142,-0.07548,0.00898
0636.hk,EQUITY,HKG,Hong Kong,Industrials,7.21,1807429342.0,13158085632.0,1457846016.0,0.76,9.486842,9.411,0.7661247,-0.212,0.07,3.61,0.10095,0.02249,60.098,2363738368.0,1.449,1.133,0.08753,0.042540003
0637.hk,EQUITY,HKG,Hong Kong,Basic Materials,0.169,828750000.0,140058752.0,-36121000.0,-0.04,,0.932,0.18133047,,0.219,,0.03965,-0.01763,1.877,-34720376.0,19.841,12.511,-0.04573,-0.01752
0639.hk,EQUITY,HKG,Hong Kong,Basic Materials,3.27,5091065770.0,16800516096.0,1060849984.0,0.21,15.571429,3.115,1.0497593,-0.533,-0.17,8.26,0.38842,0.22928,0.264,,3.567,3.313,0.07138,0.04053
0640.hk,EQUITY,HKG,Macau,Basic Materials,2.63,281675538.0,746440256.0,116029000.0,0.41,6.4146347,2.099,1.2529777,0.381,0.231,7.76,0.37620997,0.14269,6.593,31947624.0,2.781,2.359,0.20668,0.10904
0641.hk,EQUITY,HKG,Hong Kong,Industrials,0.27,1100216570.0,297058496.0,-56983000.0,-0.05,,0.976,0.27663934,,0.208,,0.26383,-0.02642,145.665,168216128.0,0.58,0.3,-0.053000003,-0.0015199999
300567.sz,EQUITY,SHZ,China,Technology,69.7,279745097.0,19973804032.0,-79750128.0,-0.31,,13.522,5.1545625,0.821,0.254,0.35,0.43257,-0.02654,84.589,-739871360.0,1.724,0.985,-0.02488,-0.00191
002055.sz,EQUITY,SHZ,China,Technology,7.33,604490017.0,4430912000.0,-1026468736.0,-1.7,,2.363,3.101989,,-0.038,,0.11216,-0.22464001,40.977,-42361472.0,1.412,1.055,-0.83542,-0.03688
0001.hk,EQUITY,HKG,Hong Kong,Industrials,54.55,3830044500.0,210843942912.0,7735000064.0,2.02,27.00495,144.852,0.37659127,-0.917,0.02,4.08,0.60171,0.02723,48.448,31839625216.0,1.69,1.351,0.022130001,0.0143
0002.hk,EQUITY,HKG,Hong Kong,Utilities,68.8,2526450570.0,173819822080.0,11415000064.0,4.52,15.22124,41.873,1.6430635,-0.055,-0.028,3.66,0.32197,0.12898,57.796,2103124992.0,0.671,0.529,0.10844,0.03866
0003.hk,EQUITY,HKG,Hong Kong,Utilities,7.43,18659870098.0,139016028160.0,5635299840.0,0.3,24.766665,3.087,2.4068675,-0.012,0.001,4.71,0.42548,0.10155,90.349,653362496.0,0.67,0.469,0.09717,0.03285
0004.hk,EQUITY,HKG,Hong Kong,Real Estate,24.42,3056027327.0,74628186112.0,-52000000.0,-0.01,,46.893,0.52076,,-0.194,1.64,0.68377995,-0.00484,13.182,4476624896.0,2.229,0.651,0.00373,0.01678
0005.hk,EQUITY,HKG,United Kingdom,Financial Services,112.9,17165933937.0,1961334669312.0,16579999744.0,7.38,15.298103,9.935,11.363865,-0.166,0.048,4.54,0.0,0.30516002,,,,,0.092939995,0.00585
0006.hk,EQUITY,HKG,Hong Kong,Utilities,51.75,2131105154.0,110391246848.0,6154999808.0,2.89,17.906574,41.723,1.2403231,0.012,-0.225,5.45,1.0,7.5336604,4.241,-25500000.0,0.299,0.223,0.070149995,0.00193
0008.hk,EQUITY,HKG,Hong Kong,Communication Services,6.04,7741063374.0,46756020224.0,-283000000.0,-0.04,,-0.177,-34.124294,,0.069,6.33,0.48,-0.00132,801.136,2574874880.0,0.699,0.337,0.33378,0.036340002
0010.hk,EQUITY,HKG,Hong Kong,Real Estate,16.21,1361618242.0,22194376704.0,1422000000.0,1.04,15.586538,71.715,0.2260336,-0.215,-0.198,5.31,0.62732,0.13376,36.535,3071749888.0,1.579,0.684,0.01701,0.01615
0011.hk,EQUITY,HKG,Hong Kong,Financial Services,151.7,1872937536.0,284124610560.0,14353999872.0,7.63,19.882044,84.517,1.7949052,-0.338,-0.149,3.43,0.0,0.44881,,,,,0.091120005,0.0087
0012.hk,EQUITY,HKG,Hong Kong,Real Estate,30.7,4841387003.0,148630585344.0,6030000128.0,1.24,24.758064,66.131,0.46423012,-0.084,-0.188,5.86,0.36054,0.26165,47.214,,3.078,0.651,0.018509999,0.00439
0013.hk,EQUITY,HKG,Hong Kong,Healthcare,23.78,859338717.0,20435075072.0,466881984.0,4.12,5.771845,1.43,16.629372,16.333,-0.092,,0.08928,0.77529997,8.111,-22782250.0,4.651,4.471,0.46897998,-0.00811
0014.hk,EQUITY,HKG,Hong Kong,Real Estate,17.81,1027008223.0,18352635904.0,-317000000.0,-0.32,,63.467,0.28061828,-0.832,0.139,6.06,0.81301004,0.03971,45.152,1980249984.0,1.163,0.877,-0.00449,0.01398
0016.hk,EQUITY,HKG,Hong Kong,Real Estate,102.4,2897780274.0,297602056192.0,19277000704.0,6.65,15.398497,213.199,0.48030242,0.187,-0.095,3.66,0.42887002,0.24181,18.104,35061374976.0,3.363,0.524,0.03224,0.01983
0017.hk,EQUITY,HKG,Hong Kong,Real Estate,7.62,2516600000.0,19478482944.0,-17172899840.0,-6.82,,65.054,0.11713345,,,,0.27722,-0.55321,75.3,2711174912.0,1.849,0.64,-0.07579,0.00238
0018.hk,EQUITY,HKG,Hong Kong,Communication Services,0.355,2397917898.0,851260864.0,52434000.0,0.02,17.75,0.687,0.5167394,-0.384,-0.161,14.08,0.24004999,0.0925,0.759,111829504.0,15.861,8.288,0.03075,0.01694
0019.hk,EQUITY,HKG,Hong Kong,Industrials,70.5,778988000.0,90008150016.0,1222000000.0,0.92,76.63043,188.911,0.37319162,-0.787,0.157,4.82,0.37076,0.01386,34.102,2815624960.0,1.02,0.607,0.0034400001,0.014529999
0020.hk,EQUITY,HKG,China,Technology,2.17,38060003530.0,86243106816.0,-3299549952.0,-0.1,,0.602,3.6046512,,0.356,,0.40103,-0.75151,37.297,-1847823360.0,2.47,2.119,-0.14692001,-0.08239
0021.hk,EQUITY,HKG,Hong Kong,Real Estate,0.106,3975233406.0,461127104.0,-34602000.0,-0.01,,0.204,0.51960784,,4.024,,0.29018,-0.22552,2.541,1745250.0,0.692,0.025,-0.042740002,0.00224
0022.hk,EQUITY,HKG,Hong Kong,Basic Materials,0.145,1966387866.0,285126240.0,-38700000.0,-0.02,,0.179,0.8100558,,,,0.18429,-0.8518,25.212,-248320880.0,3.932,1.123,-0.10706,-0.016280001
0023.hk,EQUITY,HKG,Hong Kong,Financial Services,13.76,2641380142.0,36451045376.0,4461000192.0,1.69,8.142012,41.516,0.33143848,0.252,0.029,5.6,0.0,0.31349,,,,,0.04502,0.00558
0025.hk,EQUITY,HKG,Hong Kong,Industrials,3.96,301268440.0,1193023104.0,-473088992.0,-1.57,,30.447,0.13006207,,0.225,4.04,0.068969995,-0.05106,50.816,1124290432.0,1.412,1.071,-0.050229996,0.0064
0026.hk,EQUITY,HKG,Hong Kong,Real Estate,58.9,45218856.0,2663390720.0,-184504000.0,-4.08,,150.512,0.39133096,,-0.167,0.85,1.0,-1.10956,,144496496.0,32.216,29.749,-0.026349999,0.01107
0027.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,41.2,4374894550.0,182958080000.0,9612231680.0,2.2,18.727272,18.194,2.2644827,0.191,0.083,3.4,0.77925,0.21236,1.473,,2.075,2.035,0.12528,0.056539997
0028.hk,EQUITY,HKG,Hong Kong,Real Estate,4.55,1466069491.0,6670616576.0,2059665024.0,1.41,3.2269506,19.746,0.23042642,29.041,4.596,2.2,0.53650004,0.20326,24.937,6345122304.0,1.152,0.653,0.06989,0.0535
0029.hk,EQUITY,HKG,Hong Kong,Real Estate,11.9,237703681.0,2828673792.0,-62594000.0,-0.26,,30.691,0.3877358,,-0.063,0.08,0.63681,-0.96370006,0.047,89775624.0,72.772,1.406,-0.00853,0.00059
0030.hk,EQUITY,HKG,Hong Kong,Financial Services,0.245,7599914160.0,1861979008.0,19085174.0,0.0,,0.047,5.212766,0.364,0.094,,0.08046,0.02419,2.368,,4.508,4.427,,
0031.hk,EQUITY,HKG,Hong Kong,Technology,0.55,3085021882.0,1758462464.0,-67066000.0,-0.02,,2.368,0.23226352,,0.109,,0.20806,-0.0166,18.658,-420651360.0,1.745,1.378,-0.01195,0.00525
0032.hk,EQUITY,HKG,Hong Kong,Consumer Defensive,8.55,372688000.0,3186482432.0,699462016.0,1.88,4.5478725,21.218,0.40295976,1.207,0.406,4.91,0.75954,0.49083,3.063,735171776.0,6.7,6.698,0.099870004,0.059380002
0033.hk,EQUITY,HKG,China,Financial Services,0.4,558245104.0,223298048.0,-15472000.0,-0.03,,1.248,0.32051283,,0.384,,0.16579,-0.05811,2.425,25142376.0,1.826,1.297,-0.03771,-0.01669
0034.hk,EQUITY,HKG,Hong Kong,Real Estate,3.95,1306206058.0,5237885952.0,126765000.0,0.09,43.88889,13.426,0.29420528,0.098,0.251,5.57,0.37387002,0.02157,116.47,262300128.0,4.759,0.348,0.00657,0.009190001
0035.hk,EQUITY,HKG,Hong Kong,Real Estate,0.72,3059040482.0,2202509312.0,-1275122048.0,-0.42,,3.211,0.22422922,,0.146,15.28,0.3442,-0.10468,196.213,3228397312.0,1.113,0.281,-0.07148,0.012410001
0036.hk,EQUITY,HKG,Hong Kong,Real Estate,0.2,326735577.0,65673852.0,-85926000.0,-0.64,,0.177,1.1299435,,-0.182,,0.78906,0.0,490.441,-6420000.0,0.017,0.014,-0.84980005,0.00447
0037.hk,EQUITY,HKG,Hong Kong,Real Estate,0.435,752529810.0,331113120.0,-29073968.0,-0.04,,0.399,1.0902256,,,,0.22892,-1.90763,4.049,-13643089.0,1.804,1.397,-0.09121,-0.02219
0038.hk,EQUITY,HKG,China,Industrials,7.88,391940000.0,13819027456.0,815307392.0,0.76,10.368422,6.978,1.1292634,0.151,-0.053,5.06,0.14554,0.075,4.184,-417875328.0,1.486,1.178,0.106479995,0.0238
0039.hk,EQUITY,HKG,Hong Kong,Consumer Defensive,0.088,8037572616.0,707306368.0,-25548000.0,-0.0,,0.03,2.9333334,,,,0.23427999,-1.6245599,49.552,405799616.0,0.709,0.235,-0.0661,-0.0031299999
0040.hk,EQUITY,HKG,Hong Kong,Technology,0.72,902488110.0,667841216.0,30379000.0,0.03,24.000002,1.107,0.65040654,,0.039,3.47,0.29426,0.0044299997,167.178,131277624.0,0.959,0.643,0.064899996,0.024319999
0041.hk,EQUITY,HKG,Hong Kong,Real Estate,15.23,747723345.0,11612143616.0,-1804754944.0,-2.41,,71.191,0.21393153,,0.024,5.38,0.36196,-0.16399999,49.188,4421324288.0,1.451,0.57,-0.03934,0.01474
0042.hk,EQUITY,HKG,China,Consumer Cyclical,0.29,873370000.0,253277296.0,-9754685.0,-0.01,,-0.247,-1.1740891,,0.137,,0.2784,-0.05885,,820111.0,0.336,0.205,,-0.03176
0045.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,6.04,1666939850.0,10618406912.0,-784000000.0,-0.47,,21.3,0.28356808,,-0.289,,0.38509998,-0.08754,49.418,1889624960.0,0.311,0.114,-0.02331,0.009330001
0046.hk,EQUITY,HKG,Hong Kong,Technology,1.62,243314384.0,394169312.0,29494000.0,0.12,13.5,2.091,0.7747489,0.03,-0.058,6.79,0.56114,0.116239995,3.449,38391000.0,3.262,3.145,0.058000002,0.03081
0048.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.171,175115104.0,29944684.0,40948000.0,0.26,0.6576924,1.005,0.17014925,,0.299,,0.15687001,0.28564,20.552,-36071876.0,2.29,1.71,0.25662002,-0.0224
0050.hk,EQUITY,HKG,Hong Kong,Real Estate,4.93,356273883.0,1784932096.0,196139008.0,0.55,8.963635,20.046,0.24593435,0.36,-0.055,5.07,0.39506,0.47685,0.361,1972590336.0,5.908,5.717,0.02747,0.00841
0051.hk,EQUITY,HKG,Hong Kong,Real Estate,4.38,708750000.0,3104325120.0,-261000000.0,-0.37,,20.594,0.21268332,,0.05,1.14,0.5148,-0.18845,2.918,250000000.0,1.862,0.792,-0.01792,0.012460001
0052.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,5.09,129552780.0,660719168.0,35540000.0,0.27,18.851852,5.033,1.0113252,0.396,-0.02,4.32,0.076519996,0.011460001,144.708,338666880.0,0.865,0.702,0.05416,0.019299999
0053.hk,EQUITY,HKG,Hong Kong,Industrials,79.65,329051373.0,26208942080.0,513472000.0,12.28,6.4861565,26.603,2.9940233,0.036,0.15,4.39,0.35708,0.1649,55.686,158060992.0,2.684,2.556,0.05533,0.01789
0055.hk,EQUITY,HKG,Hong Kong,Industrials,0.169,253359456.0,42817748.0,-59539312.0,-0.23,,2.438,0.069319114,,-0.126,,0.1898,-0.13076,32.478,8819638.0,1.99,0.819,-0.09291001,-0.02823
0057.hk,EQUITY,HKG,Hong Kong,Industrials,1.83,630531600.0,1166483456.0,154386000.0,0.25,7.32,4.887,0.37446287,0.772,0.376,6.45,0.235,0.059499998,0.568,-178623248.0,2.716,1.92,0.04998,0.01219
0058.hk,EQUITY,HKG,Hong Kong,Basic Materials,0.16,215520000.0,34483200.0,-53239000.0,-0.28,,0.241,0.66390043,,-0.023,,0.16525999,-0.20951,30.099,58256376.0,0.724,0.634,-0.84980005,-0.14199
0059.hk,EQUITY,HKG,China,Real Estate,0.01,0.0,84463312.0,-3349662976.0,-0.43,,-0.443,-0.022573363,,-0.57,,-0.64767,0.0,,5517354496.0,0.664,0.049,,-0.037920002
0060.hk,EQUITY,HKG,Hong Kong,Consumer Defensive,0.42,255654000.0,109931216.0,-18821000.0,-0.07,,2.025,0.20740739,,-0.138,,0.15035,-0.100760005,5.959,3601375.0,2.691,1.918,-0.03611,-0.02155
